Country ISO3,Country Name,Indicator,Subindicator Type,Indicator_in_2018
AFG,Afghanistan,Electoral participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.2181
AFG,Afghanistan,EMB autonomy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.340247678
AFG,Afghanistan,EMB capacity ,Scaled to range from 0 (lowest score) to 1 (highest score),0.147836538
AFG,Afghanistan,Engaged society ,Scaled to range from 0 (lowest score) to 1 (highest score),0.621712943
AFG,Afghanistan,Executive bribery and corrupt exchanges ,Scaled to range from 0 (lowest score) to 1 (highest score),0.210526316
AFG,Afghanistan,Executive constraints ,Scaled to range from 0 (lowest score) to 1 (highest score),0.5
AFG,Afghanistan,Executive embezzlement and theft ,Scaled to range from 0 (lowest score) to 1 (highest score),0.157894737
AFG,Afghanistan,Executive oversight ,Scaled to range from 0 (lowest score) to 1 (highest score),0.5
AFG,Afghanistan,Executive respects constitution ,Scaled to range from 0 (lowest score) to 1 (highest score),0.473684211
AFG,Afghanistan,Fair trial ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AFG,Afghanistan,Female vs. male mean years of schooling ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AFG,Afghanistan,Free Political Parties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.466250782
AFG,Afghanistan,Freedom from forced labour for men ,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AFG,Afghanistan,Freedom from forced labour for women ,Scaled to range from 0 (lowest score) to 1 (highest score),0.473684211
AFG,Afghanistan,Freedom from political killings ,Scaled to range from 0 (lowest score) to 1 (highest score),0.421052632
AFG,Afghanistan,Freedom from torture ,Scaled to range from 0 (lowest score) to 1 (highest score),0.421052632
AFG,Afghanistan,Freedom of academic and cultural expression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.539293538
AFG,Afghanistan,Freedom of assembly and association ,Scaled to range from 0 (lowest score) to 1 (highest score),0.666666667
AFG,Afghanistan,Freedom of association and assembly ,Scaled to range from 0 (lowest score) to 1 (highest score),0.65969921
AFG,Afghanistan,Freedom of discussion for men ,Scaled to range from 0 (lowest score) to 1 (highest score),0.565983553
AFG,Afghanistan,Freedom of discussion for women ,Scaled to range from 0 (lowest score) to 1 (highest score),0.546914984
AFG,Afghanistan,Freedom of domestic movement for men ,Scaled to range from 0 (lowest score) to 1 (highest score),0.583517197
AFG,Afghanistan,Freedom of domestic movement for women ,Scaled to range from 0 (lowest score) to 1 (highest score),0.432949712
AFG,Afghanistan,Freedom of expression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.552249073
AFG,Afghanistan,Freedom of foreign movement ,Scaled to range from 0 (lowest score) to 1 (highest score),0.722012579
AFG,Afghanistan,Freedom of movement ,Scaled to range from 0 (lowest score) to 1 (highest score),0.571402715
AFG,Afghanistan,Freedom of movement and residence ,Scaled to range from 0 (lowest score) to 1 (highest score),0.333333333
AFG,Afghanistan,Freedom of opinion and expression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.333333333
AFG,Afghanistan,Freedom of religion ,Scaled to range from 0 (lowest score) to 1 (highest score),0.442501547
AFG,Afghanistan,"Freedom of thought, conscience and religion ",Scaled to range from 0 (lowest score) to 1 (highest score),0.333333333
AFG,Afghanistan,Fundamental rights ,Scaled to range from 0 (lowest score) to 1 (highest score),0.361359494
AFG,Afghanistan,Gender equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.350701882
AFG,Afghanistan,Harassment of journalists ,Scaled to range from 0 (lowest score) to 1 (highest score),0.467128517
AFG,Afghanistan,Health equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AFG,Afghanistan,High Court independence ,Scaled to range from 0 (lowest score) to 1 (highest score),0.473684211
AFG,Afghanistan,Human rights protection scores ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AFG,Afghanistan,Impartial administration ,Scaled to range from 0 (lowest score) to 1 (highest score),0.332619303
AFG,Afghanistan,Inclusive  Suffrage ,Scaled to range from 0 (lowest score) to 1 (highest score),0.78890676
AFG,Afghanistan,Inclusive suffrage ,Scaled to range from 0 (lowest score) to 1 (highest score),1
AFG,Afghanistan,Infant mortality rate ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
AFG,Afghanistan,Judicial accountability ,Scaled to range from 0 (lowest score) to 1 (highest score),0.408530242
AFG,Afghanistan,Judicial corruption decision ,Scaled to range from 0 (lowest score) to 1 (highest score),0.210242194
AFG,Afghanistan,Judicial independence ,Scaled to range from 0 (lowest score) to 1 (highest score),0.437090505
AFG,Afghanistan,Kilocalories per person per day ,Scaled to range from 0 (lowest score) to 1 (highest score),0.105263158
AFG,Afghanistan,Legislature investigates in practice ,Scaled to range from 0 (lowest score) to 1 (highest score),0.8
AFG,Afghanistan,Legislature opposition parties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.45
AFG,Afghanistan,Legislature questions officials in practice ,Scaled to range from 0 (lowest score) to 1 (highest score),0.85
AFG,Afghanistan,Life expectancy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
AFG,Afghanistan,Literacy,Scaled to range from 0 (lowest score) to 1 (highest score),0.052631579
AFG,Afghanistan,Local  Democracy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.190288753
AFG,Afghanistan,Local government index ,Scaled to range from 0 (lowest score) to 1 (highest score),0.461384152
AFG,Afghanistan,Lower chamber female legislators ,Scaled to range from 0 (lowest score) to 1 (highest score),0.894736842
AFG,Afghanistan,Lower court independence ,Scaled to range from 0 (lowest score) to 1 (highest score),0.526315789
AFG,Afghanistan,Mean years of schooling ,Scaled to range from 0 (lowest score) to 1 (highest score),0.105263158
AFG,Afghanistan,Media bias ,Scaled to range from 0 (lowest score) to 1 (highest score),0.627442941
AFG,Afghanistan,Media corrupt ,Scaled to range from 0 (lowest score) to 1 (highest score),0.55403165
AFG,Afghanistan,Media freedom ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AFG,Afghanistan,Media integrity ,Scaled to range from 0 (lowest score) to 1 (highest score),0.574371987
AFG,Afghanistan,Media self-censorship ,Scaled to range from 0 (lowest score) to 1 (highest score),0.53157167
AFG,Afghanistan,Multiparty elections ,Scaled to range from 0 (lowest score) to 1 (highest score),1
AFG,Afghanistan,Openness of executive recruitment ,Scaled to range from 0 (lowest score) to 1 (highest score),1
AFG,Afghanistan,Opposition parties  autonomy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.526315789
AFG,Afghanistan,Party ban ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
AFG,Afghanistan,Personal integrity and security ,Scaled to range from 0 (lowest score) to 1 (highest score),0.402984896
AFG,Afghanistan,Power distributed by gender ,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AFG,Afghanistan,Power distributed by social group ,Scaled to range from 0 (lowest score) to 1 (highest score),0.421052632
AFG,Afghanistan,Power distributed by socio-economic position ,Scaled to range from 0 (lowest score) to 1 (highest score),0.105263158
AFG,Afghanistan,Predictable enforcement ,Scaled to range from 0 (lowest score) to 1 (highest score),0.38928176
AFG,Afghanistan,Print / broadcast media perspectives ,Scaled to range from 0 (lowest score) to 1 (highest score),0.632919452
AFG,Afghanistan,Print/broadcast censorship effort ,Scaled to range from 0 (lowest score) to 1 (highest score),0.592547529
AFG,Afghanistan,Public sector corrupt exchanges ,Scaled to range from 0 (lowest score) to 1 (highest score),0.105263158
AFG,Afghanistan,Public sector theft ,Scaled to range from 0 (lowest score) to 1 (highest score),0.105263158
AFG,Afghanistan,Religious organization repression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.461461604
AFG,Afghanistan,Representation of disadvantaged social groups ,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AFG,Afghanistan,Representative government ,Scaled to range from 0 (lowest score) to 1 (highest score),0.379864747
AFG,Afghanistan,Rigorous and impartial public administration ,Scaled to range from 0 (lowest score) to 1 (highest score),0.157894737
AFG,Afghanistan,Social class equality in respect for civil liberties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.052631579
AFG,Afghanistan,Social group equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.285733943
AFG,Afghanistan,Social group equality in respect for civil liberties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AFG,Afghanistan,Social rights and equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.260514709
AFG,Afghanistan,Subnational elections free and fair ,Scaled to range from 0 (lowest score) to 1 (highest score),0.412430188
AFG,Afghanistan,Transparent laws with predictable enforcement ,Scaled to range from 0 (lowest score) to 1 (highest score),0.526315789
AGO,Angola,Absence of corruption (Global States of Democracy),Scaled to range from 0 (lowest score) to 1 (highest score),0.406018122
AGO,Angola,Access to justice ,Scaled to range from 0 (lowest score) to 1 (highest score),0.509615385
AGO,Angola,Access to justice for men ,Scaled to range from 0 (lowest score) to 1 (highest score),0.535714286
AGO,Angola,Access to justice for women ,Scaled to range from 0 (lowest score) to 1 (highest score),0.518581081
AGO,Angola,Barriers to parties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.473684211
AGO,Angola,Basic welfare ,Scaled to range from 0 (lowest score) to 1 (highest score),0.403904156
AGO,Angola,Bureaucratic quality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.375
AGO,Angola,Checks on government ,Scaled to range from 0 (lowest score) to 1 (highest score),0.444510456
AGO,Angola,Civil liberties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.556222169
AGO,Angola,Civil society participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.439106103
AGO,Angola,Clean Elections ,Scaled to range from 0 (lowest score) to 1 (highest score),0.409638893
AGO,Angola,Competition ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AGO,Angola,Competitiveness of executive recruitment ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AGO,Angola,Competitiveness of participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.8
AGO,Angola,Compliance with High Court ,Scaled to range from 0 (lowest score) to 1 (highest score),0.842105263
AGO,Angola,Compliance with judiciary ,Scaled to range from 0 (lowest score) to 1 (highest score),0.315789474
AGO,Angola,Corruption ,Scaled to range from 0 (lowest score) to 1 (highest score),0.229166667
AGO,Angola,Critical Print / broadcast media ,Scaled to range from 0 (lowest score) to 1 (highest score),0.494572297
AGO,Angola,CSO  participatory environment ,Scaled to range from 0 (lowest score) to 1 (highest score),0.37527769
AGO,Angola,CSO entry and exit ,Scaled to range from 0 (lowest score) to 1 (highest score),0.528343667
AGO,Angola,CSO participatory environment ,Scaled to range from 0 (lowest score) to 1 (highest score),0.579985283
AGO,Angola,CSO repression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.5962296
AGO,Angola,CSO women s participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.421052632
AGO,Angola,Direct  Democracy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.015364917
AGO,Angola,Direct democracy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.023047375
AGO,Angola,Educational equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.105263158
AGO,Angola,Effective parliament ,Scaled to range from 0 (lowest score) to 1 (highest score),0.399161546
AGO,Angola,Elected executive index ,Scaled to range from 0 (lowest score) to 1 (highest score),1
AGO,Angola,Elected Government ,Scaled to range from 0 (lowest score) to 1 (highest score),0.649970764
AGO,Angola,Election free and fair ,Scaled to range from 0 (lowest score) to 1 (highest score),0.417606865
AGO,Angola,Election government intimidation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.466185512
AGO,Angola,Election other voting irregularities ,Scaled to range from 0 (lowest score) to 1 (highest score),0.341195477
AGO,Angola,Election voter registry ,Scaled to range from 0 (lowest score) to 1 (highest score),0.478286299
AGO,Angola,Election women in the cabinet ,Scaled to range from 0 (lowest score) to 1 (highest score),1
AGO,Angola,Elections multiparty ,Scaled to range from 0 (lowest score) to 1 (highest score),0.45
AGO,Angola,Electoral,Scaled to range from 0 (lowest score) to 1 (highest score),0.666666667
AGO,Angola,Electoral participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.5307
AGO,Angola,EMB autonomy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.27879257
AGO,Angola,EMB capacity ,Scaled to range from 0 (lowest score) to 1 (highest score),0.365084135
AGO,Angola,Engaged society ,Scaled to range from 0 (lowest score) to 1 (highest score),0.384310269
AGO,Angola,Executive bribery and corrupt exchanges ,Scaled to range from 0 (lowest score) to 1 (highest score),0.526315789
AGO,Angola,Executive constraints ,Scaled to range from 0 (lowest score) to 1 (highest score),0.333333333
AGO,Angola,Executive embezzlement and theft ,Scaled to range from 0 (lowest score) to 1 (highest score),0.473684211
AGO,Angola,Executive oversight ,Scaled to range from 0 (lowest score) to 1 (highest score),0.3
AGO,Angola,Executive respects constitution ,Scaled to range from 0 (lowest score) to 1 (highest score),0.315789474
AGO,Angola,Fair trial ,Scaled to range from 0 (lowest score) to 1 (highest score),0.333333333
AGO,Angola,Female vs. male mean years of schooling ,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AGO,Angola,Free Political Parties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.510819877
AGO,Angola,Freedom from forced labour for men ,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AGO,Angola,Freedom from forced labour for women ,Scaled to range from 0 (lowest score) to 1 (highest score),0.315789474
AGO,Angola,Freedom from political killings ,Scaled to range from 0 (lowest score) to 1 (highest score),0.421052632
AGO,Angola,Freedom from torture ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
AGO,Angola,Freedom of academic and cultural expression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.492332968
AGO,Angola,Freedom of assembly and association ,Scaled to range from 0 (lowest score) to 1 (highest score),0.666666667
AGO,Angola,Freedom of association and assembly ,Scaled to range from 0 (lowest score) to 1 (highest score),0.582016059
AGO,Angola,Freedom of discussion for men ,Scaled to range from 0 (lowest score) to 1 (highest score),0.511029892
AGO,Angola,Freedom of discussion for women ,Scaled to range from 0 (lowest score) to 1 (highest score),0.486494171
AGO,Angola,Freedom of domestic movement for men ,Scaled to range from 0 (lowest score) to 1 (highest score),0.646203764
AGO,Angola,Freedom of domestic movement for women ,Scaled to range from 0 (lowest score) to 1 (highest score),0.670753065
AGO,Angola,Freedom of expression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.530435852
AGO,Angola,Freedom of foreign movement ,Scaled to range from 0 (lowest score) to 1 (highest score),0.523689727
AGO,Angola,Freedom of movement ,Scaled to range from 0 (lowest score) to 1 (highest score),0.629882353
AGO,Angola,Freedom of movement and residence ,Scaled to range from 0 (lowest score) to 1 (highest score),0.666666667
AGO,Angola,Freedom of opinion and expression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.333333333
AGO,Angola,Freedom of religion ,Scaled to range from 0 (lowest score) to 1 (highest score),0.60201408
AGO,Angola,"Freedom of thought, conscience and religion ",Scaled to range from 0 (lowest score) to 1 (highest score),0.666666667
AGO,Angola,Fundamental rights ,Scaled to range from 0 (lowest score) to 1 (highest score),0.505416428
AGO,Angola,Gender equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.645504527
AGO,Angola,Harassment of journalists ,Scaled to range from 0 (lowest score) to 1 (highest score),0.518733211
AGO,Angola,Health equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.157894737
AGO,Angola,High Court independence ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
AGO,Angola,Human rights protection scores ,Scaled to range from 0 (lowest score) to 1 (highest score),0.5
AGO,Angola,Impartial administration ,Scaled to range from 0 (lowest score) to 1 (highest score),0.41912376
AGO,Angola,Inclusive  Suffrage ,Scaled to range from 0 (lowest score) to 1 (highest score),0.826095433
AGO,Angola,Inclusive suffrage ,Scaled to range from 0 (lowest score) to 1 (highest score),1
AGO,Angola,Infant mortality rate ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
AGO,Angola,Internal conflict ,Scaled to range from 0 (lowest score) to 1 (highest score),0.444444444
AGO,Angola,Judicial accountability ,Scaled to range from 0 (lowest score) to 1 (highest score),0.460841135
AGO,Angola,Judicial corruption decision ,Scaled to range from 0 (lowest score) to 1 (highest score),0.375401226
AGO,Angola,Judicial independence ,Scaled to range from 0 (lowest score) to 1 (highest score),0.419287157
AGO,Angola,Kilocalories per person per day ,Scaled to range from 0 (lowest score) to 1 (highest score),0.421052632
AGO,Angola,Law  and order ,Scaled to range from 0 (lowest score) to 1 (highest score),0.416666667
AGO,Angola,Legislature investigates in practice ,Scaled to range from 0 (lowest score) to 1 (highest score),0.35
AGO,Angola,Legislature opposition parties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.25
AGO,Angola,Legislature questions officials in practice ,Scaled to range from 0 (lowest score) to 1 (highest score),0.35
AGO,Angola,Life expectancy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.315789474
AGO,Angola,Literacy,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AGO,Angola,Local  Democracy ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AGO,Angola,Local government index ,Scaled to range from 0 (lowest score) to 1 (highest score),
AGO,Angola,Lower chamber female legislators ,Scaled to range from 0 (lowest score) to 1 (highest score),0.894736842
AGO,Angola,Lower court independence ,Scaled to range from 0 (lowest score) to 1 (highest score),0.473684211
AGO,Angola,Mean years of schooling ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
AGO,Angola,Media bias ,Scaled to range from 0 (lowest score) to 1 (highest score),0.611316113
AGO,Angola,Media corrupt ,Scaled to range from 0 (lowest score) to 1 (highest score),0.438884702
AGO,Angola,Media freedom ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AGO,Angola,Media integrity ,Scaled to range from 0 (lowest score) to 1 (highest score),0.521573205
AGO,Angola,Media self-censorship ,Scaled to range from 0 (lowest score) to 1 (highest score),0.733138731
AGO,Angola,Multiparty elections ,Scaled to range from 0 (lowest score) to 1 (highest score),1
AGO,Angola,Openness of executive recruitment ,Scaled to range from 0 (lowest score) to 1 (highest score),1
AGO,Angola,Opposition parties  autonomy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.473684211
AGO,Angola,Party ban ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
AGO,Angola,Personal integrity and security ,Scaled to range from 0 (lowest score) to 1 (highest score),0.39837086
AGO,Angola,Power distributed by gender ,Scaled to range from 0 (lowest score) to 1 (highest score),0.842105263
AGO,Angola,Power distributed by social group ,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AGO,Angola,Power distributed by socio-economic position ,Scaled to range from 0 (lowest score) to 1 (highest score),0.052631579
AGO,Angola,Predictable enforcement ,Scaled to range from 0 (lowest score) to 1 (highest score),0.3995249
AGO,Angola,Print / broadcast media perspectives ,Scaled to range from 0 (lowest score) to 1 (highest score),0.555237186
AGO,Angola,Print/broadcast censorship effort ,Scaled to range from 0 (lowest score) to 1 (highest score),0.506920152
AGO,Angola,Public sector corrupt exchanges ,Scaled to range from 0 (lowest score) to 1 (highest score),0.421052632
AGO,Angola,Public sector theft ,Scaled to range from 0 (lowest score) to 1 (highest score),0.421052632
AGO,Angola,Religious  Tensions / Ethnic Tensions ,Scaled to range from 0 (lowest score) to 1 (highest score),0.666666667
AGO,Angola,Religious organization repression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.551812732
AGO,Angola,Representation of disadvantaged social groups ,Scaled to range from 0 (lowest score) to 1 (highest score),0.105263158
AGO,Angola,Representative government ,Scaled to range from 0 (lowest score) to 1 (highest score),0.416123292
AGO,Angola,Rigorous and impartial public administration ,Scaled to range from 0 (lowest score) to 1 (highest score),0.526315789
AGO,Angola,Social class equality in respect for civil liberties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.052631579
AGO,Angola,Social group equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.259877708
AGO,Angola,Social group equality in respect for civil liberties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
AGO,Angola,Social rights and equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.432740088
AGO,Angola,Transparent laws with predictable enforcement ,Scaled to range from 0 (lowest score) to 1 (highest score),0.368421053
ALB,Albania,Absence of corruption (Global States of Democracy),Scaled to range from 0 (lowest score) to 1 (highest score),0.294243878
ALB,Albania,Access to justice ,Scaled to range from 0 (lowest score) to 1 (highest score),0.693779435
ALB,Albania,Access to justice for men ,Scaled to range from 0 (lowest score) to 1 (highest score),0.710135815
ALB,Albania,Access to justice for women ,Scaled to range from 0 (lowest score) to 1 (highest score),0.757536383
ALB,Albania,Barriers to parties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.578947368
ALB,Albania,Basic welfare ,Scaled to range from 0 (lowest score) to 1 (highest score),0.732127962
ALB,Albania,Bureaucratic quality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.5
ALB,Albania,Checks on government ,Scaled to range from 0 (lowest score) to 1 (highest score),0.584814639
ALB,Albania,Civil liberties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.718025065
ALB,Albania,Civil society participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.52751666
ALB,Albania,Clean Elections ,Scaled to range from 0 (lowest score) to 1 (highest score),0.572186849
ALB,Albania,Competition ,Scaled to range from 0 (lowest score) to 1 (highest score),1
ALB,Albania,Competitiveness of executive recruitment ,Scaled to range from 0 (lowest score) to 1 (highest score),1
ALB,Albania,Competitiveness of participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.8
ALB,Albania,Compliance with High Court ,Scaled to range from 0 (lowest score) to 1 (highest score),0.578947368
ALB,Albania,Compliance with judiciary ,Scaled to range from 0 (lowest score) to 1 (highest score),0.578947368
ALB,Albania,Corruption ,Scaled to range from 0 (lowest score) to 1 (highest score),0.416666667
ALB,Albania,Critical Print / broadcast media ,Scaled to range from 0 (lowest score) to 1 (highest score),0.416558113
ALB,Albania,CSO  participatory environment ,Scaled to range from 0 (lowest score) to 1 (highest score),0.486036179
ALB,Albania,CSO entry and exit ,Scaled to range from 0 (lowest score) to 1 (highest score),0.755683496
ALB,Albania,CSO participatory environment ,Scaled to range from 0 (lowest score) to 1 (highest score),0.587932303
ALB,Albania,CSO repression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.757175014
ALB,Albania,CSO women s participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.526315789
ALB,Albania,Direct  Democracy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.076824584
ALB,Albania,Direct democracy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.076824584
ALB,Albania,Educational equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.631578947
ALB,Albania,Effective parliament ,Scaled to range from 0 (lowest score) to 1 (highest score),0.693953344
ALB,Albania,Elected executive index ,Scaled to range from 0 (lowest score) to 1 (highest score),1
ALB,Albania,Elected Government ,Scaled to range from 0 (lowest score) to 1 (highest score),1
ALB,Albania,Election free and fair ,Scaled to range from 0 (lowest score) to 1 (highest score),0.560464008
ALB,Albania,Election government intimidation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.512429832
ALB,Albania,Election other voting irregularities ,Scaled to range from 0 (lowest score) to 1 (highest score),0.461227787
ALB,Albania,Election voter registry ,Scaled to range from 0 (lowest score) to 1 (highest score),0.775844422
ALB,Albania,Election women in the cabinet ,Scaled to range from 0 (lowest score) to 1 (highest score),1
ALB,Albania,Elections multiparty ,Scaled to range from 0 (lowest score) to 1 (highest score),0.85
ALB,Albania,Electoral,Scaled to range from 0 (lowest score) to 1 (highest score),1
ALB,Albania,Electoral participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.685
ALB,Albania,EMB autonomy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.538390093
ALB,Albania,EMB capacity ,Scaled to range from 0 (lowest score) to 1 (highest score),0.493539663
ALB,Albania,Engaged society ,Scaled to range from 0 (lowest score) to 1 (highest score),0.486704863
ALB,Albania,Executive bribery and corrupt exchanges ,Scaled to range from 0 (lowest score) to 1 (highest score),0.105263158
ALB,Albania,Executive constraints ,Scaled to range from 0 (lowest score) to 1 (highest score),1
ALB,Albania,Executive embezzlement and theft ,Scaled to range from 0 (lowest score) to 1 (highest score),0.210526316
ALB,Albania,Executive oversight ,Scaled to range from 0 (lowest score) to 1 (highest score),0.9
